id,category,local_id,curvature_score,oppositeness_score
impossible_001,impossible,9.890321120273711,0.5492446151300823,0.5035783703705348
impossible_002,impossible,12.205736504497409,0.4335341723246954,0.49533611367593955
impossible_003,impossible,19.21372001659177,0.23454885732156272,0.5321821468459722
impossible_004,impossible,5.46335711052786,0.707954694273125,0.4676592013605615
impossible_005,impossible,7.279207729345984,0.6252467222126616,0.4144707091870732
impossible_006,impossible,5.868829116923238,0.7050765790965108,0.42744175294528963
impossible_007,impossible,10.712907255415256,0.5168442825110133,0.5671024532893063
impossible_008,impossible,1671.124802203849,1.1102230246251565e-16,0.47994964300145326
impossible_009,impossible,45.34727834888182,0.0,0.48143743633353975
impossible_010,impossible,36.022684178126134,1.1102230246251565e-16,0.5372567261682939
ambiguous_001,ambiguous,43.36530591532856,0.0,0.36416416853624
ambiguous_002,ambiguous,20.493600868738774,0.21291372117340412,0.30402469918414177
ambiguous_003,ambiguous,173.4680551602435,0.0,0.4922786212702036
ambiguous_004,ambiguous,22.915628024536417,0.16301171476220766,0.45373758547537335
ambiguous_005,ambiguous,9.687703091936273,0.5635979274598566,0.3708511915421513
ambiguous_006,ambiguous,22.632861422723014,0.1536188828471471,0.4734126726370156
ambiguous_007,ambiguous,3.799253348396062,0.8039565216255636,0.5072479700359694
ambiguous_008,ambiguous,20.757427467026314,0.2031934549045793,0.48501955710154765
ambiguous_009,ambiguous,391.4131698547493,1.1102230246251565e-16,0.4314803636965542
ambiguous_010,ambiguous,94.67709378852247,0.0,0.48525307495883163
factual_001,factual,7.040408289231482,0.6446848485562544,0.3903849348282533
factual_002,factual,16.701306784130203,0.3166580301334001,0.4832333779747844
factual_003,factual,3656.188576349116,0.0,0.45865650429942817
factual_004,factual,32.86368977765152,-2.220446049250313e-16,0.30504797051683663
factual_005,factual,91.91701249369345,0.0,0.46414331114675345
factual_006,factual,15.437373841322602,0.35423714615241364,0.35974665935279637
factual_007,factual,6.4171527503045125,0.6886637950946495,0.5034601450131444
factual_008,factual,12.49162992073551,0.446569044585317,0.3976935298801034
factual_009,factual,2.0201502458893796,0.8768583839597807,0.3717533847696265
factual_010,factual,65.32531772895312,-2.220446049250313e-16,0.4063973169415219
nonexistent_001,nonexistent,407.9296240389313,2.220446049250313e-16,0.44714070103259496
nonexistent_002,nonexistent,1519.9496494881828,-2.220446049250313e-16,0.5418253269380854
nonexistent_003,nonexistent,8.205423298732109,0.578434360894959,0.5111014071385395
nonexistent_004,nonexistent,12.220150949462255,0.44302217272311795,0.48399270412361894
nonexistent_005,nonexistent,25.013186382600647,0.09097716743959383,0.42215229476693517
nonexistent_006,nonexistent,10.088438802890662,0.5195967368733496,0.4753996154022383
nonexistent_007,nonexistent,27.98130125724025,0.04822430131383304,0.4037690600431748
nonexistent_008,nonexistent,19.661575278139175,0.23040472570250414,0.4855305599824553
nonexistent_009,nonexistent,10.884947994379619,0.5082042905526447,0.4696345189460104
nonexistent_010,nonexistent,20.228768319529518,0.19989003896643032,0.48801409069440804
